Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
LONE,Lonestar Resources US Inc.,7.92,195126045.84,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lone,
LOACU,Longevity Acquisition Corporation,10.45,0.0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/loacu,
LOOP,"Loop Industries, Inc.",9.36,316421408.16,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/loop,
LORL,"Loral Space and Communications, Inc.",43.55,1347121306.05,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/lorl,
LOXO,"Loxo Oncology, Inc.",156.01,4753635620.7,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/loxo,
LPLA,LPL Financial Holdings Inc.,65.135,5738158427.785,,2010.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/lpla,
LRAD,LRAD Corporation,3.0,98810163.0,,,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/lrad,
LYTS,LSI Industries Inc.,4.685,120132362.405,,1985.0,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/lyts,
LULU,lululemon athletica inc.,155.19,20542651455.06,,2007.0,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/lulu,
LITE,Lumentum Holdings Inc.,60.35,3820155000.0,,,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/lite,
LMNX,Luminex Corporation,29.81,1329776314.57,,2000.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/lmnx,
LUNA,Luna Innovations Incorporated,3.44,96087012.24,,2006.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/luna,
LBC,Luther Burbank Corporation,11.3,638999338.2,,2003.0,Finance,Major Banks,https://www.nasdaq.com/symbol/lbc,
MBTF,M B T Financial Corp,11.25,258569111.25,,,Finance,Major Banks,https://www.nasdaq.com/symbol/mbtf,
MCBC,Macatawa Bank Corporation,12.06,410212687.14,,,Finance,Major Banks,https://www.nasdaq.com/symbol/mcbc,
MFNC,Mackinac Financial Corporation,16.34,175046253.3,,,Finance,Major Banks,https://www.nasdaq.com/symbol/mfnc,
MTSI,"MACOM Technology Solutions Holdings, Inc.",21.56,1404910442.32,,2012.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/mtsi,
MGNX,"MacroGenics, Inc.",22.88,966391368.8,,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mgnx,
MDGL,"Madrigal Pharmaceuticals, Inc.",215.77,3315658618.18,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mdgl,
MAGS,Magal Security Systems Ltd.,5.49,126505257.48,,1993.0,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/mags,
MGLN,"Magellan Health, Inc.",73.05,1793753634.45,,,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/mgln,
MGTA,"Magenta Therapeutics, Inc.",11.7,385453399.5,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mgta,
MGIC,Magic Software Enterprises Ltd.,9.05,441255338.8,,1991.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mgic,
CALL,magicJack VocalTec Ltd,8.55,138556392.3,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/call,
MNGA,MagneGas Corporation,0.1453,5800870.6012,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mnga,
MGYR,"Magyar Bancorp, Inc.",12.16,70780271.36,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/mgyr,
MHLD,"Maiden Holdings, Ltd.",2.7,224486739.9,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/mhld,
MMYT,MakeMyTrip Limited,27.3,2784098553.6,,2010.0,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/mmyt,
MBUU,"Malibu Boats, Inc.",52.93,1091721000.43,,2014.0,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/mbuu,
MLVF,"Malvern Bancorp, Inc.",24.65,162078162.35,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/mlvf,
MAMS,"MAM Software Group, Inc.",7.67,96588578.45,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mams,
TUSK,"Mammoth Energy Services, Inc.",28.48,1274641709.44,,2016.0,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/tusk,
RPIBC,Managed Portfolio Series,100.03,0.0,,,,,https://www.nasdaq.com/symbol/rpibc,
MANH,"Manhattan Associates, Inc.",58.59,3852898203.42,,1998.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/manh,
LOAN,"Manhattan Bridge Capital, Inc",6.0,57278322.0,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/loan,
MNTX,"Manitex International, Inc.",10.94,214495306.92,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mntx,
MTEX,"Mannatech, Incorporated",20.245,48640879.94,,,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/mtex,
MNKD,MannKind Corporation,1.73,264669874.91,,2004.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnkd,
MANT,ManTech International Corporation,62.14,2459460622.58,,2002.0,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/mant,
MARA,"Marathon Patent Group, Inc.",0.845,20333184.3,,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/mara,
MCHX,"Marchex, Inc.",2.84,118663685.92,,2004.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/mchx,
MRIN,Marin Software Incorporated,3.25,18801250.0,,,Technology,EDP Services,https://www.nasdaq.com/symbol/mrin,
MARPS,Marine Petroleum Trust,3.9796,7959200.0,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/marps,
MRNS,"Marinus Pharmaceuticals, Inc.",7.95,322173853.35,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrns,
MKTX,"MarketAxess Holdings, Inc.",182.62,6861210541.4,,2004.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/mktx,
MRLN,Marlin Business Services Corp.,29.1,361971873.6,,2003.0,Finance,Major Banks,https://www.nasdaq.com/symbol/mrln,
