Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
ITP,"IT Tech Packaging, Inc.",0.84,18018265.44,,,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/itp,
KIQ,Kelso Technologies Inc,0.4851,22882208.7186,,,Capital Goods,Railroads,https://www.nasdaq.com/symbol/kiq,
LTS,Ladenburg Thalmann Financial Services Inc,2.39,480519272.71,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/lts,
LTS^A,Ladenburg Thalmann Financial Services Inc,23.6401,0.0,,,,,https://www.nasdaq.com/symbol/lts^a,
LTSK,Ladenburg Thalmann Financial Services Inc,24.28,0.0,,2018.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsk,
LTSL,Ladenburg Thalmann Financial Services Inc,23.0989,0.0,,2017.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsl,
LTSF,Ladenburg Thalmann Financial Services Inc.,23.61,0.0,,2018.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsf,
LEVB,"Level Brands, Inc.",4.28,34749011.84,,2017.0,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/levb,
LGL,"LGL Group, Inc. (The)",7.33,35345157.38,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lgl,
LBY,"Libbey, Inc.",8.78,194410930.5,,1993.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lby,
LLEX,"Lilis Energy, Inc.",5.13,329591691.09,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/llex,
LIQT,"LiqTech International, Inc.",1.52,110565631.44,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/liqt,
MAG,MAG Silver Corporation,8.22,703134492.72,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/mag,
